Topics,senate,essays,nytimes
30,2.03155424921 > -,1.57281127561 < -,2.04179502258 - -
50,2.02592114308 > -,1.7321031351 < -,2.0513500883 - ^
100,2.0959673014 > -,1.73277715215 < -,2.33979477679 > ^
200,1.98470915888 > V,1.63951747133 < V,2.47586521767 > -
400,1.85117033708 > ^,1.43679317084 < -,2.39076771541 > V
